
				pc	bp	sp	stack
Initial values	0	1	0
 0	jmp	0	31	31	1	0
31	inc	0	10	32	1	10	0 0 0 0 0 7 85 889 0 0 
32	lit	0	7	33	1	11	0 0 0 0 0 7 85 889 0 0 7 
33	sto	0	5	34	1	10	0 0 0 0 0 7 85 889 0 0 
34	lit	0	85	35	1	11	0 0 0 0 0 7 85 889 0 0 85 
35	sto	0	6	36	1	10	0 0 0 0 0 7 85 889 0 0 
36	cal	0	1	1	11	10	0 0 0 0 0 7 85 889 0 0 
 1	jmp	0	2	2	11	10	0 0 0 0 0 7 85 889 0 0 | 
 2	inc	0	6	3	11	16	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 896 0 
 3	lod	1	5	4	11	17	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 896 0 7 
 4	sto	0	4	5	11	16	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 7 0 
 5	lod	1	6	6	11	17	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 7 0 85 
 6	sto	0	5	7	11	16	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 7 85 
 7	lit	0	0	8	11	17	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 7 85 0 
 8	sto	1	7	9	11	16	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 85 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 85 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 0 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 0 7 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 0 0 0 | 0 1 1 37 7 85 7 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 7 85 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 7 85 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 7 85 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 7 85 2 7 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 7 85 14 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 85 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 85 85 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 85 85 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 85 42 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 42 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 42 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 7 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 7 14 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 7 0 0 | 0 1 1 37 14 42 21 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 14 42 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 14 42 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 14 42 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 14 42 2 14 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 14 42 28 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 42 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 42 42 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 42 42 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 42 21 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 21 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 21 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 21 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 21 28 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 21 0 0 | 0 1 1 37 28 21 49 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 28 21 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 28 21 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 28 21 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 28 21 2 28 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 28 21 56 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 21 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 21 21 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 21 21 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 21 10 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 10 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 10 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 49 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 49 56 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 49 0 0 | 0 1 1 37 56 10 105 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 56 10 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 56 10 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 56 10 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 56 10 2 56 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 56 10 112 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 10 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 10 10 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 10 10 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 10 5 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 5 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 5 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 105 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 105 112 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 105 0 0 | 0 1 1 37 112 5 217 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 112 5 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 112 5 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 112 5 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 112 5 2 112 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 112 5 224 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 5 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 5 5 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 5 5 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 5 2 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 2 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 2 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 217 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 217 224 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 217 0 0 | 0 1 1 37 224 2 441 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 224 2 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 224 2 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 224 2 2 
22	lod	0	4	23	11	18	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 224 2 2 224 
23	opr	0	4	24	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 224 2 448 
24	sto	0	4	25	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 2 
25	lod	0	5	26	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 2 2 
26	lit	0	2	27	11	18	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 2 2 2 
27	opr	0	5	28	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 2 1 
28	sto	0	5	29	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 
29	jmp	0	9	9	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 
 9	lod	0	5	10	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 1 
10	lit	0	0	11	11	18	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 1 0 
11	opr	0	12	12	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 1 
12	jpc	0	30	13	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 
13	lod	1	5	14	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 7 
14	opr	0	6	15	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 1 
15	jpc	0	21	16	11	16	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 
16	lod	1	7	17	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 441 
17	lod	0	4	18	11	18	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 441 448 
18	opr	0	2	19	11	17	0 0 0 0 0 7 85 441 0 0 | 0 1 1 37 448 1 889 
19	sto	1	7	20	11	16	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 448 1 
20	jmp	0	21	21	11	16	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 448 1 
21	lit	0	2	22	11	17	0 0 0 0 0 7 85 889 0 0 | 0 1 1 37 448 1 2 
